text,label
国产芯片公司发布新一代人工智能处理器,科技
手机厂商推出支持卫星通信的新机型,科技
开源大模型在中文理解任务上刷新成绩,科技
科研团队研发出低功耗柔性传感器,科技
云计算平台新增大规模推理服务,科技
操作系统更新修复多个安全漏洞,科技
机器人在工厂完成精密装配测试,科技
自动驾驶企业公布城市道路测试结果,科技
量子计算实验实现更长的相干时间,科技
数据库新版本提升分布式查询速度,科技
国产浏览器加入端侧人工智能功能,科技
高校团队发布多模态数据集,科技
智能眼镜支持实时翻译和导航,科技
新能源车搭载新一代车载芯片,科技
搜索引擎升级语义检索算法,科技
国家队在决赛中三比一战胜对手,体育
联赛射手在本轮比赛完成帽子戏法,体育
中国选手夺得羽毛球公开赛冠军,体育
马拉松比赛吸引三万名跑者参赛,体育
篮球队通过加时赛获得季后赛资格,体育
游泳运动员打破女子百米全国纪录,体育
网球名将在半决赛直落两盘晋级,体育
教练公布世界杯预选赛集训名单,体育
主场球队凭借点球扳平比分,体育
乒乓球混双组合获得赛事金牌,体育
冬奥会场馆完成制冰测试,体育
排球队在小组赛取得三连胜,体育
赛车手在雨战中从末位追至领奖台,体育
体操新人首次参加世锦赛进入决赛,体育
足球俱乐部宣布签下年轻中场球员,体育
央行宣布下调金融机构存款准备金率,财经
上市公司发布年度营收增长报告,财经
人民币对美元汇率今日小幅上涨,财经
消费市场在假期迎来销售高峰,财经
基金公司推出新的指数投资产品,财经
多家银行下调部分定期存款利率,财经
制造业采购经理指数重回扩张区间,财经
黄金价格受避险需求影响继续走高,财经
证券市场主要指数午后震荡反弹,财经
新能源汽车出口带动外贸增长,财经
保险公司披露季度投资收益数据,财经
国际油价下跌降低运输企业成本,财经
电商平台公布年度成交额数据,财经
税收优惠政策支持小微企业融资,财经
债券市场发行利率保持平稳,财经
